race_id,日付,レース,開催地,馬名,着順,馬番,人気,horse_id,source
202642071605,2026-07-16,5,浦和,グッドインディード,7,9,,2021105041,nar
202642071605,2026-07-16,5,浦和,ユウユウロザリウム,8,6,,2022104282,nar
202642071605,2026-07-16,5,浦和,チェスナットドレス,9,7,,2017106198,nar
202642071605,2026-07-16,5,浦和,アヤサンメルシー,10,8,,2020101749,nar
202642071605,2026-07-16,5,浦和,クイーンマートル,11,3,,2021101929,nar
202642071606,2026-07-16,6,浦和,フェリスラリー,1,11,,2020101356,nar
202642071606,2026-07-16,6,浦和,ニシノリピート,2,5,,2021100402,nar
202642071606,2026-07-16,6,浦和,フェアーメロディ,3,10,,2022105571,nar
202642071606,2026-07-16,6,浦和,エムリエール,4,6,,2019103580,nar
202642071606,2026-07-16,6,浦和,コットンフラワー,5,8,,2022101365,nar
202642071606,2026-07-16,6,浦和,アストラルフレア,6,7,,2022107215,nar
202642071606,2026-07-16,6,浦和,セキテイジュウオー,7,4,,2019101924,nar
202642071606,2026-07-16,6,浦和,イーオレイ,8,12,,2022102950,nar
202642071606,2026-07-16,6,浦和,テリオスボス,9,2,,2021100544,nar
202642071606,2026-07-16,6,浦和,オリエンタルマック,10,9,,2022106145,nar
202642071606,2026-07-16,6,浦和,ニシノウール,11,1,,2020100938,nar
202642071606,2026-07-16,6,浦和,アンジュマロン,12,3,,2022106671,nar
202642071607,2026-07-16,7,浦和,ミノリチャン,1,3,,2022100059,nar
202642071607,2026-07-16,7,浦和,タマモコンペイトウ,2,7,,2020101718,nar
202642071607,2026-07-16,7,浦和,ルミナヴィクター,3,9,,2022100013,nar
202642071607,2026-07-16,7,浦和,パルメニデス,4,6,,2019100432,nar
202642071607,2026-07-16,7,浦和,スプリングネージュ,5,10,,2018109044,nar
202642071607,2026-07-16,7,浦和,エコロルキナ,6,8,,2022101341,nar
202642071607,2026-07-16,7,浦和,アンビータブルニコ,7,1,,2022102457,nar
202642071607,2026-07-16,7,浦和,マーニク,8,5,,2021103067,nar
202642071607,2026-07-16,7,浦和,シェナハート,9,2,,2019107077,nar
202642071607,2026-07-16,7,浦和,シェナカレン,10,12,,2020102011,nar
202642071607,2026-07-16,7,浦和,ジャストザヴァルス,11,4,,2020100411,nar
202642071607,2026-07-16,7,浦和,ステンノー,12,11,,2020104319,nar
202642071608,2026-07-16,8,浦和,ビナラオカイ,1,1,,2023102108,nar
202642071608,2026-07-16,8,浦和,セファイドループ,2,9,,2022100597,nar
202642071608,2026-07-16,8,浦和,ハワイアンジュエル,3,4,,2022104573,nar
202642071608,2026-07-16,8,浦和,コウユーミューミュ,4,2,,2022101219,nar
202642071608,2026-07-16,8,浦和,ミヅルーラー,5,6,,2022101628,nar
202642071608,2026-07-16,8,浦和,ブラックエンパイア,6,5,,2022104343,nar
202642071608,2026-07-16,8,浦和,タイトルコール,7,7,,2022102808,nar
202642071608,2026-07-16,8,浦和,クラパッション,8,8,,2022101301,nar
202642071608,2026-07-16,8,浦和,ニシノニューリーフ,9,3,,2020106604,nar
202642071609,2026-07-16,9,浦和,ドリームファイター,1,7,,2023110030,nar
202642071609,2026-07-16,9,浦和,アルコア,2,6,,2023104565,nar
202642071609,2026-07-16,9,浦和,マッドスピード,3,8,,2023102506,nar
202642071609,2026-07-16,9,浦和,トゥモローズウェイ,4,10,,2023103338,nar
202642071609,2026-07-16,9,浦和,ルージュソムニウム,5,2,,2023103605,nar
202642071609,2026-07-16,9,浦和,ラジスタンロイヤル,6,4,,2023100194,nar
202642071609,2026-07-16,9,浦和,ダイユウサルターレ,7,3,,2023102809,nar
202642071609,2026-07-16,9,浦和,レオスキーム,8,12,,2023104893,nar
202642071609,2026-07-16,9,浦和,ビップルーク,9,11,,2023105995,nar
202642071609,2026-07-16,9,浦和,オーデンサフィー,10,5,,2023102366,nar
202642071609,2026-07-16,9,浦和,コスモゼーリエ,11,1,,2023106450,nar
202642071609,2026-07-16,9,浦和,チェストー,取消,9,,2023100770,nar
202642071610,2026-07-16,10,浦和,コスタデラルス,1,2,,2022107309,nar
202642071610,2026-07-16,10,浦和,アマノハバキリ,2,6,,2022104407,nar
202642071610,2026-07-16,10,浦和,クインズステラ,3,7,,2019102559,nar
202642071610,2026-07-16,10,浦和,マスクドサムライ,4,5,,2019106784,nar
202642071610,2026-07-16,10,浦和,アイスキング,5,8,,2019105835,nar
202642071610,2026-07-16,10,浦和,ノヴァヴィア,6,9,,2022107066,nar
202642071610,2026-07-16,10,浦和,ツガノショウグン,7,1,,2021104100,nar
202642071610,2026-07-16,10,浦和,サンスレッド,8,3,,2020106495,nar
202642071610,2026-07-16,10,浦和,エレガントジュエリ,取消,4,,2020106937,nar
202642071611,2026-07-16,11,浦和,フォーティチュード,1,7,,2023109017,nar
202642071611,2026-07-16,11,浦和,シェナウエーブ,2,8,,2022103789,nar
202642071611,2026-07-16,11,浦和,ルールメイプル,3,4,,2020105827,nar
202642071611,2026-07-16,11,浦和,ダイメイタマナ,4,2,,2020102357,nar
202642071611,2026-07-16,11,浦和,ユウノワンワン,5,1,,2021101846,nar
202642071611,2026-07-16,11,浦和,サンダビューク,6,12,,2019102827,nar
202642071611,2026-07-16,11,浦和,デュアルロンド,7,3,,2021106264,nar
202642071611,2026-07-16,11,浦和,アイグレース,8,9,,2020105406,nar
202642071611,2026-07-16,11,浦和,スーパーマン,9,10,,2020100956,nar
202642071611,2026-07-16,11,浦和,クリーゲリン,10,11,,2021106617,nar
202642071611,2026-07-16,11,浦和,セイウンハルカニ,11,6,,2019100938,nar
202642071611,2026-07-16,11,浦和,ボディコンシャス,除外,5,,2022104299,nar
202642071612,2026-07-16,12,浦和,メイショウフソウ,1,7,,2022100438,nar
202642071612,2026-07-16,12,浦和,ミライヘホウショウ,2,2,,2022106981,nar
202642071612,2026-07-16,12,浦和,ユウオウマイシン,3,5,,2022106921,nar
202642071612,2026-07-16,12,浦和,ロットゥーラ,4,3,,2020104834,nar
202642071612,2026-07-16,12,浦和,ベルルート,5,6,,2021101345,nar
202642071612,2026-07-16,12,浦和,ビーチガール,6,4,,2020101855,nar
202642071612,2026-07-16,12,浦和,ユイノパチョレック,7,11,,2021100930,nar
202642071612,2026-07-16,12,浦和,ニシノシャイニング,8,12,,2020105944,nar
202642071612,2026-07-16,12,浦和,シングアウト,9,8,,2022103085,nar
202642071612,2026-07-16,12,浦和,ルージュメアート,10,1,,2022105541,nar
202642071612,2026-07-16,12,浦和,シェナクラウン,11,10,,2020106178,nar
202642071612,2026-07-16,12,浦和,メイショウサノサ,12,9,,2022101472,nar
202650071601,2026-07-16,1,園田,メイショウロンド,1,2,,2022102983,nar
202650071601,2026-07-16,1,園田,サクラヴィグール,2,1,,2021104071,nar
202650071601,2026-07-16,1,園田,ララアンセストラル,3,3,,2019102757,nar
202650071601,2026-07-16,1,園田,グランロゼ,4,7,,2022102048,nar
