race_id,日付,レース,馬名,実着順,horse_id,馬番,着順1,人気1,着順2,人気2,着順3,人気3,着順4,人気4,着順5,人気5
202642071604,2026-07-16,4,セイウンコチョウ,11,2019103947,7,6,6,12,10,4,7,11,10,5,4
202642071604,2026-07-16,4,イチゴホイップ,5,2020107092,8,7,4,2,3,9,10,12,5,2,5
202642071604,2026-07-16,4,スペルガッサン,6,2018106759,9,3,3,4,5,2,7,11,7,5,11
202642071604,2026-07-16,4,ロベルタインパクト,4,2022100209,10,5,4,3,10,11,6,4,5,4,3
202642071604,2026-07-16,4,コビナイフォンテン,1,2019105664,11,6,4,5,4,6,6,8,8,1,5
202642071604,2026-07-16,4,ナイトダンサー,12,2022101848,12,10,9,7,7,9,9,7,11,11,12
202642071605,2026-07-16,5,クウレイナニ,2,2020104436,1,2,2,2,1,1,1,1,1,1,6
202642071605,2026-07-16,5,アンジェマリーナ,3,2021103136,2,5,7,3,8,3,5,11,5,5,6
202642071605,2026-07-16,5,クイーンマートル,11,2021101929,3,11,8,11,6,取,,8,5,3,9
202642071605,2026-07-16,5,ライヴラジアン,5,2022103452,4,5,3,4,5,11,3,9,4,1,4
202642071605,2026-07-16,5,セイウンスイート,6,2020100305,5,11,12,8,9,8,12,9,14,8,10
202642071605,2026-07-16,5,ユウユウロザリウム,8,2022104282,6,9,9,10,5,9,7,1,4,7,4
202642071605,2026-07-16,5,チェスナットドレス,9,2017106198,7,7,8,10,12,7,8,3,11,10,12
202642071605,2026-07-16,5,アヤサンメルシー,10,2020101749,8,7,7,5,7,5,4,7,9,7,6
202642071605,2026-07-16,5,グッドインディード,7,2021105041,9,9,7,9,10,11,10,10,11,10,10
202642071605,2026-07-16,5,インマイブラッド,4,2022104165,10,8,11,10,10,9,9,10,8,11,9
202642071605,2026-07-16,5,サンタアナウインド,1,2022103219,11,6,1,6,6,1,1,2,1,5,4
202642071606,2026-07-16,6,ニシノウール,11,2020100938,1,7,8,9,10,9,11,11,11,10,12
202642071606,2026-07-16,6,テリオスボス,9,2021100544,2,2,3,3,6,7,2,6,7,2,4
202642071606,2026-07-16,6,アンジュマロン,12,2022106671,3,3,5,6,6,5,1,1,2,3,3
202642071606,2026-07-16,6,セキテイジュウオー,7,2019101924,4,8,5,6,3,5,4,3,4,2,2
202642071606,2026-07-16,6,ニシノリピート,2,2021100402,5,4,6,4,10,7,11,4,7,7,7
202642071606,2026-07-16,6,エムリエール,4,2019103580,6,11,8,10,11,7,8,8,6,4,6
202642071606,2026-07-16,6,アストラルフレア,6,2022107215,7,4,4,1,1,1,1,1,3,2,3
202642071606,2026-07-16,6,コットンフラワー,5,2022101365,8,9,4,4,3,4,2,4,1,1,2
202642071606,2026-07-16,6,オリエンタルマック,10,2022106145,9,10,10,4,7,9,12,8,10,10,10
202642071606,2026-07-16,6,フェアーメロディ,3,2022105571,10,5,1,1,3,2,1,6,3,5,1
202642071606,2026-07-16,6,フェリスラリー,1,2020101356,11,1,7,5,7,10,8,6,8,6,7
202642071606,2026-07-16,6,イーオレイ,8,2022102950,12,9,9,12,10,10,8,7,2,3,3
202642071607,2026-07-16,7,アンビータブルニコ,7,2022102457,1,8,9,9,8,8,10,7,10,9,10
202642071607,2026-07-16,7,シェナハート,9,2019107077,2,9,11,10,10,6,12,12,12,12,12
202642071607,2026-07-16,7,ミノリチャン,1,2022100059,3,5,7,6,9,4,6,4,9,7,11
202642071607,2026-07-16,7,ジャストザヴァルス,11,2020100411,4,11,3,1,3,8,6,5,6,2,8
202642071607,2026-07-16,7,マーニク,8,2021103067,5,10,11,7,12,10,9,6,9,7,10
202642071607,2026-07-16,7,パルメニデス,4,2019100432,6,4,9,8,7,10,9,9,8,3,8
202642071607,2026-07-16,7,タマモコンペイトウ,2,2020101718,7,10,8,6,11,8,10,9,12,11,10
202642071607,2026-07-16,7,エコロルキナ,6,2022101341,8,9,12,9,7,7,7,11,13,8,9
202642071607,2026-07-16,7,ルミナヴィクター,3,2022100013,9,5,10,10,12,8,6,9,6,6,11
202642071607,2026-07-16,7,スプリングネージュ,5,2018109044,10,7,4,4,4,6,10,10,6,12,14
202642071607,2026-07-16,7,ステンノー,12,2020104319,11,11,8,11,3,1,11,12,11,8,6
202642071607,2026-07-16,7,シェナカレン,10,2020102011,12,11,12,8,11,11,11,8,11,7,11
202642071608,2026-07-16,8,ビナラオカイ,1,2023102108,1,1,2,4,3,1,4,,,,
202642071608,2026-07-16,8,コウユーミューミュ,4,2022101219,2,3,5,6,8,11,10,1,11,7,9
202642071608,2026-07-16,8,ニシノニューリーフ,9,2020106604,3,7,11,11,11,13,8,6,12,10,7
202642071608,2026-07-16,8,ハワイアンジュエル,3,2022104573,4,7,9,5,9,10,10,10,9,8,10
202642071608,2026-07-16,8,ブラックエンパイア,6,2022104343,5,3,4,1,1,6,1,3,1,4,2
202642071608,2026-07-16,8,ミヅルーラー,5,2022101628,6,5,3,5,2,6,8,4,5,8,6
202642071608,2026-07-16,8,タイトルコール,7,2022102808,7,12,3,4,3,9,3,3,3,8,7
202642071608,2026-07-16,8,クラパッション,8,2022101301,8,11,8,7,8,4,10,5,6,6,11
202642071608,2026-07-16,8,セファイドループ,2,2022100597,9,4,1,1,3,9,7,7,11,11,9
202642071609,2026-07-16,9,コスモゼーリエ,11,2023106450,1,15,14,,,,,,,,
202642071609,2026-07-16,9,ルージュソムニウム,5,2023103605,2,8,10,11,10,5,9,13,6,,
202642071609,2026-07-16,9,ダイユウサルターレ,7,2023102809,3,14,12,15,4,3,6,10,9,,
202642071609,2026-07-16,9,ラジスタンロイヤル,6,2023100194,4,5,9,8,7,10,9,6,5,5,11
202642071609,2026-07-16,9,オーデンサフィー,10,2023102366,5,7,7,2,7,2,10,8,10,5,11
202642071609,2026-07-16,9,アルコア,2,2023104565,6,6,6,1,1,1,1,12,5,4,6
202642071609,2026-07-16,9,ドリームファイター,1,2023110030,7,6,2,3,2,2,1,3,2,1,1
202642071609,2026-07-16,9,マッドスピード,3,2023102506,8,7,6,7,10,3,7,6,10,11,11
202642071609,2026-07-16,9,チェストー,取消,2023100770,9,7,5,5,8,12,8,7,7,6,14
202642071609,2026-07-16,9,トゥモローズウェイ,4,2023103338,10,12,9,4,5,7,8,10,11,6,17
202642071609,2026-07-16,9,ビップルーク,9,2023105995,11,1,6,4,6,5,9,6,4,4,7
202642071609,2026-07-16,9,レオスキーム,8,2023104893,12,6,16,12,14,14,16,9,15,,
