date,race,race_id,開催地,bet_type,勝負ランク,推奨券種,購入対象,prediction,result,hit,payout,investment,profit,roi,source,投資判定,本命オッズ,期待値,能力差スコア,レース信頼度スコア,AI信頼度スコア
2026-07-12,小倉10R,202610020610,小倉,三連単,A,ワイド,0,ダノンカゼルタ－ジャスティンガルフ－オウケンボルト,10-1-9,0,0,100,-100,0.0,jra,見送り,6.4,115,45.0,59.5,67.7
2026-07-12,小倉11R,202610020611,小倉,本命,B,ワイド,0,モックモック,1着:6,0,0,100,-100,0.0,jra,見送り,2.0,88,45.0,58.1,60.5
2026-07-12,小倉11R,202610020611,小倉,ワイド,B,ワイド,1,モックモック－モンブランミノル｜モックモック－ゴッドブルービー｜モンブランミノル－ゴッドブルービー,5-6 / 6-9 / 5-9,0,0,300,-300,0.0,jra,見送り,2.0,88,45.0,58.1,60.5
2026-07-12,小倉11R,202610020611,小倉,馬連,B,ワイド,1,モックモック－モンブランミノル｜モックモック－ゴッドブルービー,5-6,0,0,200,-200,0.0,jra,見送り,2.0,88,45.0,58.1,60.5
2026-07-12,小倉11R,202610020611,小倉,三連複,B,ワイド,1,モックモック－モンブランミノル－ゴッドブルービー｜モックモック－モンブランミノル－フェルヴェンテ,5-6-9,0,0,200,-200,0.0,jra,見送り,2.0,88,45.0,58.1,60.5
2026-07-12,小倉11R,202610020611,小倉,三連単,B,ワイド,0,モックモック－モンブランミノル－ゴッドブルービー,6-5-9,0,0,100,-100,0.0,jra,見送り,2.0,88,45.0,58.1,60.5
2026-07-12,小倉12R,202610020612,小倉,本命,A,ワイド,0,ベルファスト,1着:8,0,0,100,-100,0.0,jra,見送り,7.4,109,45.0,59.5,67.7
2026-07-12,小倉12R,202610020612,小倉,ワイド,A,ワイド,1,ベルファスト－ジューンオアシス｜ベルファスト－ドルチェミスト｜ベルファスト－ドルチェミスト,8-15 / 8-17 / 15-17,0,0,300,-300,0.0,jra,見送り,7.4,109,45.0,59.5,67.7
2026-07-12,小倉12R,202610020612,小倉,馬連,A,ワイド,0,ベルファスト－ジューンオアシス｜ベルファスト－ドルチェミスト,8-15,0,0,200,-200,0.0,jra,見送り,7.4,109,45.0,59.5,67.7
2026-07-12,小倉12R,202610020612,小倉,三連複,A,ワイド,0,ベルファスト－ジューンオアシス－ドルチェミスト｜ベルファスト－ドルチェミスト－ドルチェミスト｜ベルファスト－ジューンオアシス－ドルチェミスト｜ベルファスト－ドルチェミスト－ウインマスカレード｜ベルファスト－ジューンオアシス－ウインマスカレード｜ベルファスト－ジューンオアシス－フィラーエ,8-15-17,0,0,600,-600,0.0,jra,見送り,7.4,109,45.0,59.5,67.7
2026-07-12,小倉12R,202610020612,小倉,三連単,A,ワイド,0,ベルファスト－ラブカムーン－ジューンオアシス,8-15-17,0,0,100,-100,0.0,jra,見送り,7.4,109,45.0,59.5,67.7
2026-07-12,福島01R,202603020601,福島,本命,C,ワイド,0,トーアマリシテン,1着:3,1,330,100,230,330.0,jra,見送り,3.3,98,45.0,47.8,42.7
2026-07-12,福島01R,202603020601,福島,ワイド,C,ワイド,1,トーアマリシテン－ブライテストドーン｜トーアマリシテン－ゲレル｜ブライテストドーン－ゲレル,3-13 / 3-6 / 6-13,0,0,300,-300,0.0,jra,見送り,3.3,98,45.0,47.8,42.7
2026-07-12,福島01R,202603020601,福島,馬連,C,ワイド,0,トーアマリシテン－ゲレル｜トーアマリシテン－ブライテストドーン,3-13,0,0,200,-200,0.0,jra,見送り,3.3,98,45.0,47.8,42.7
2026-07-12,福島01R,202603020601,福島,三連複,C,ワイド,0,トーアマリシテン－ブライテストドーン－ゲレル｜トーアマリシテン－ブライテストドーン－サラフィエル｜トーアマリシテン－ゲレル－サラフィエル｜トーアマリシテン－ゲレル－モスクロッサー｜トーアマリシテン－ブライテストドーン－モスクロッサー｜トーアマリシテン－ブライテストドーン－ノブダブルホワイト,3-6-13,0,0,600,-600,0.0,jra,見送り,3.3,98,45.0,47.8,42.7
2026-07-12,福島01R,202603020601,福島,三連単,C,ワイド,0,トーアマリシテン－ブライテストドーン－ゲレル,3-13-6,0,0,100,-100,0.0,jra,見送り,3.3,98,45.0,47.8,42.7
2026-07-12,福島02R,202603020602,福島,本命,B,ワイド,0,クリムゾンリーフ,1着:2,0,0,100,-100,0.0,jra,見送り,1.7,94,45.0,49.0,46.8
2026-07-12,福島02R,202603020602,福島,ワイド,B,ワイド,1,クリムゾンリーフ－アーティキュレート｜クリムゾンリーフ－レヴェンドール｜クリムゾンリーフ－ゴットタレント,2-15 / 1-2 / 1-15,0,0,300,-300,0.0,jra,見送り,1.7,94,45.0,49.0,46.8
2026-07-12,福島02R,202603020602,福島,馬連,B,ワイド,0,クリムゾンリーフ－アーティキュレート｜クリムゾンリーフ－レヴェンドール,2-15,0,0,200,-200,0.0,jra,見送り,1.7,94,45.0,49.0,46.8
2026-07-12,福島02R,202603020602,福島,三連複,B,ワイド,0,クリムゾンリーフ－アーティキュレート－レヴェンドール｜クリムゾンリーフ－アーティキュレート－ゴットタレント｜クリムゾンリーフ－アーティキュレート－トランセンコ｜クリムゾンリーフ－アーティキュレート－サングラント｜クリムゾンリーフ－ゴットタレント－レヴェンドール｜クリムゾンリーフ－ゴットタレント－トランセンコ,1-2-15,0,0,600,-600,0.0,jra,見送り,1.7,94,45.0,49.0,46.8
2026-07-12,福島02R,202603020602,福島,三連単,B,ワイド,0,クリムゾンリーフ－レヴェンドール－アーティキュレート,2-15-1,0,0,100,-100,0.0,jra,見送り,1.7,94,45.0,49.0,46.8
2026-07-12,福島03R,202603020603,福島,本命,C,ワイド,0,ヴァルカンテソーロ,1着:9,1,150,100,50,150.0,jra,見送り,1.5,86,45.0,47.8,42.7
2026-07-12,福島03R,202603020603,福島,ワイド,C,ワイド,1,ヴァルカンテソーロ－ブライスフェアリー｜ヴァルカンテソーロ－ヴォンサクレ｜ヴァルカンテソーロ－ウッケン,9-13 / 6-9 / 6-13,1,430,300,130,143.3,jra,見送り,1.5,86,45.0,47.8,42.7
2026-07-12,福島03R,202603020603,福島,馬連,C,ワイド,0,ヴァルカンテソーロ－ブライスフェアリー｜ヴァルカンテソーロ－ヴォンサクレ,9-13,1,1030,200,830,515.0,jra,見送り,1.5,86,45.0,47.8,42.7
2026-07-12,福島03R,202603020603,福島,三連複,C,ワイド,0,ヴァルカンテソーロ－ヴォンサクレ－ブライスフェアリー｜ヴァルカンテソーロ－ブライスフェアリー－ウッケン｜ヴァルカンテソーロ－ヴォンサクレ－ウッケン｜ヴァルカンテソーロ－ブライスフェアリー－チャンピオンホープ｜ヴァルカンテソーロ－ヴォンサクレ－チャンピオンホープ｜ヴァルカンテソーロ－ヴォンサクレ－ウッケン,6-9-13,0,0,600,-600,0.0,jra,見送り,1.5,86,45.0,47.8,42.7
2026-07-12,福島03R,202603020603,福島,三連単,C,ワイド,0,ヴァルカンテソーロ－ヴォンサクレ－ブライスフェアリー,9-13-6,0,0,100,-100,0.0,jra,見送り,1.5,86,45.0,47.8,42.7
2026-07-12,福島04R,202603020604,福島,本命,C,ワイド,0,ヴェールネージュ,1着:6,0,0,100,-100,0.0,jra,見送り,25.6,101,45.0,41.7,27.3
2026-07-12,福島04R,202603020604,福島,ワイド,C,ワイド,1,ウカテンセイ－ヴェールネージュ｜サクセスボーイ－ヴェールネージュ｜ウカテンセイ－サクセスボーイ,6-8 / 5-6 / 5-8,0,0,300,-300,0.0,jra,見送り,25.6,101,45.0,41.7,27.3
2026-07-12,福島04R,202603020604,福島,馬連,C,ワイド,0,ヴェールネージュ－ハルガスミ｜ウカテンセイ－ジェントルアイズ,6-8,0,0,200,-200,0.0,jra,見送り,25.6,101,45.0,41.7,27.3
2026-07-12,福島04R,202603020604,福島,三連複,C,ワイド,0,ウカテンセイ－サクセスボーイ－ヴェールネージュ｜ウカテンセイ－ヴェールネージュ－ハルガスミ｜ウカテンセイ－ジェントルアイズ－エコロテラ｜ウカテンセイ－ジェントルアイズ－ハルガスミ｜サクセスボーイ－ヴェールネージュ－ハルガスミ｜ウカテンセイ－サクセスボーイ－トム,5-6-8,0,0,600,-600,0.0,jra,見送り,25.6,101,45.0,41.7,27.3
2026-07-12,福島04R,202603020604,福島,三連単,C,ワイド,0,ヴェールネージュ－ウカテンセイ－サクセスボーイ,6-8-5,0,0,100,-100,0.0,jra,見送り,25.6,101,45.0,41.7,27.3
2026-07-12,福島05R,202603020605,福島,本命,D,三連複,0,ブルーリボン,1着:12,0,0,100,-100,0.0,jra,見送り,108.2,101,45.0,35.6,14.9
