race_id,race_number,horse
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060620260712/21,6,ビバームス
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060620260712/21,6,アームズラムレイ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060620260712/21,6,ララララブソング
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060620260712/21,6,ブラックブレット
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060620260712/21,6,コパノキャンペーン
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060620260712/21,6,フリード
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,ジェバーダ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,タマモスカイ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,メイショウオグマ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,オオツカ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,ラブインアクション
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,リアルペガサス
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,キリオス
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,セルジュバローズ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,キアヌ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,ジュンプリメーロ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,ヴィエントデコラ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,コルヴァス
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,テーオーノーベル
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,ニシノミチアキ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,エアフォースワン
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,メイショウカズサ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,ミリタリータトゥー
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,ペイシャシス
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,コンバットペスカ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,エレガンシア
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,メイショウピリカ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,レザンクレール
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,ヴィーナスバブル
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,タマモヒロイン
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,ミッキーマーメイド
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,エスコーラ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,テンエースワン
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,タガノアニマシオン
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,ケイアイアルタイル
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,エンマ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,ブルックリンダンス
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,ホウショウルクス
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,トモジャザーン
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,ショウナンバンライ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,プウスカンドゥール
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,サンライズケヴィン
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,メイショウカズサ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,ルフトクス
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,レアンダー
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,ヴァレーデラルナ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,ブラックアーメット
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,ダノンカゼルタ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,ショウナンハウル
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,プリズマジコ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,ハッピーダンチャン
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,フォーチュンライド
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,アスクエピソード
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,レイピカケ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,コリカンチャ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,オデット
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,ジャスティンガルフ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,オウケンボルト
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,ガイアフォース
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,アロマデローサ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,メリオーレム
